### Printing all connections in the network
### From file: .\TopologyFiles\large_topo_file
### Data was parsed at: 2023-11-17 11:05:33.871588

Switch:
sysimgguid=0x2c900000085bf
Connected to: H-0002c900000080fd, Ports:=[1]=>[1]
Connected to: H-0002c9000000811d, Ports:=[2]=>[1]
Connected to: H-0002c9000000813d, Ports:=[3]=>[1]
Connected to: H-0002c9000000815d, Ports:=[4]=>[1]
Connected to: H-0002c9000000817d, Ports:=[5]=>[1]
Connected to: H-0002c9000000819d, Ports:=[6]=>[1]
Connected to: H-0002c900000081bd, Ports:=[7]=>[1]
Connected to: H-0002c9000000021d, Ports:=[8]=>[1]
Connected to: H-0002c9000000023d, Ports:=[9]=>[1]
Connected to: H-0002c9000000025d, Ports:=[10]=>[1]
Connected to: H-0002c9000000027d, Ports:=[11]=>[1]
Connected to: H-0002c9000000029d, Ports:=[12]=>[1]
Connected to: H-0002c900000002bd, Ports:=[13]=>[1]
Connected to: H-0002c900000002dd, Ports:=[14]=>[1]
Connected to: H-0002c900000002fd, Ports:=[15]=>[1]
Connected to: H-0002c9000000031d, Ports:=[16]=>[1]
Connected to: H-0002c9000000033d, Ports:=[17]=>[1]
Connected to: H-0002c9000000037d, Ports:=[18]=>[1]
Connected to: H-0002c9000000039d, Ports:=[19]=>[1]
Connected to: H-0002c900000003bd, Ports:=[20]=>[1]
Connected to: H-0002c900000003dd, Ports:=[21]=>[1]
Connected to: H-0002c900000003fd, Ports:=[22]=>[1]
Connected to: H-0002c9000000041d, Ports:=[23]=>[1]
Connected to: H-0002c9000000043d, Ports:=[24]=>[1]
Connected to: H-0002c9000000045d, Ports:=[25]=>[1]
Connected to: H-0002c9000000047d, Ports:=[26]=>[1]
Connected to: H-0002c9000000049d, Ports:=[27]=>[1]
Connected to: H-0002c900000004dd, Ports:=[28]=>[1]
Connected to: H-0002c900000004fd, Ports:=[29]=>[1]
Connected to: H-0002c9000000051d, Ports:=[30]=>[1]
Connected to: H-0002c9000000053d, Ports:=[31]=>[1]
Connected to: H-0002c9000000055d, Ports:=[32]=>[1]
Connected to: S-0002c900000089b4, Ports:=[33]=>[25]
Connected to: S-0002c900000089b4, Ports:=[34]=>[26]
Connected to: S-0002c900000089b4, Ports:=[35]=>[27]
Connected to: S-0002c900000089b4, Ports:=[36]=>[28]
Connected to: S-0002c900000089b4, Ports:=[37]=>[29]
Connected to: S-0002c900000089b4, Ports:=[38]=>[30]
Connected to: S-0002c900000089b4, Ports:=[39]=>[31]
Connected to: S-0002c900000089b4, Ports:=[40]=>[32]
Connected to: S-0002c900000089b8, Ports:=[41]=>[25]
Connected to: S-0002c900000089b8, Ports:=[42]=>[26]
Connected to: S-0002c900000089b8, Ports:=[43]=>[27]
Connected to: S-0002c900000089b8, Ports:=[44]=>[28]
Connected to: S-0002c900000089b8, Ports:=[45]=>[29]
Connected to: S-0002c900000089b8, Ports:=[46]=>[30]
Connected to: S-0002c900000089b8, Ports:=[47]=>[31]
Connected to: S-0002c900000089b8, Ports:=[48]=>[32]
Connected to: S-0002c900000089bc, Ports:=[49]=>[25]
Connected to: S-0002c900000089bc, Ports:=[50]=>[26]
Connected to: S-0002c900000089bc, Ports:=[51]=>[27]
Connected to: S-0002c900000089bc, Ports:=[52]=>[28]
Connected to: S-0002c900000089bc, Ports:=[53]=>[29]
Connected to: S-0002c900000089bc, Ports:=[54]=>[30]
Connected to: S-0002c900000089bc, Ports:=[55]=>[31]
Connected to: S-0002c900000089bc, Ports:=[56]=>[32]
Connected to: S-0002c900000089c0, Ports:=[57]=>[25]
Connected to: S-0002c900000089c0, Ports:=[58]=>[26]
Connected to: S-0002c900000089c0, Ports:=[59]=>[27]
Connected to: S-0002c900000089c0, Ports:=[60]=>[28]
Connected to: S-0002c900000089c0, Ports:=[61]=>[29]
Connected to: S-0002c900000089c0, Ports:=[62]=>[30]
Connected to: S-0002c900000089c0, Ports:=[63]=>[31]
Connected to: S-0002c900000089c0, Ports:=[64]=>[32]


Switch:
sysimgguid=0x2c900000085bb
Connected to: H-0002c90000007c9d, Ports:=[1]=>[1]
Connected to: H-0002c90000007cbd, Ports:=[2]=>[1]
Connected to: H-0002c90000007cdd, Ports:=[3]=>[1]
Connected to: H-0002c90000007cfd, Ports:=[4]=>[1]
Connected to: H-0002c90000007d1d, Ports:=[5]=>[1]
Connected to: H-0002c90000007d3d, Ports:=[6]=>[1]
Connected to: H-0002c90000007d5d, Ports:=[7]=>[1]
Connected to: H-0002c90000007d7d, Ports:=[8]=>[1]
Connected to: H-0002c90000007d9d, Ports:=[9]=>[1]
Connected to: H-0002c90000007ddd, Ports:=[10]=>[1]
Connected to: H-0002c90000007dfd, Ports:=[11]=>[1]
Connected to: H-0002c90000007e1d, Ports:=[12]=>[1]
Connected to: H-0002c90000007e3d, Ports:=[13]=>[1]
Connected to: H-0002c90000007e5d, Ports:=[14]=>[1]
Connected to: H-0002c90000007e7d, Ports:=[15]=>[1]
Connected to: H-0002c90000007e9d, Ports:=[16]=>[1]
Connected to: H-0002c90000007ebd, Ports:=[17]=>[1]
Connected to: H-0002c90000007edd, Ports:=[18]=>[1]
Connected to: H-0002c90000007efd, Ports:=[19]=>[1]
Connected to: H-0002c90000007f3d, Ports:=[20]=>[1]
Connected to: H-0002c90000007f5d, Ports:=[21]=>[1]
Connected to: H-0002c90000007f7d, Ports:=[22]=>[1]
Connected to: H-0002c90000007f9d, Ports:=[23]=>[1]
Connected to: H-0002c90000007fbd, Ports:=[24]=>[1]
Connected to: H-0002c90000007fdd, Ports:=[25]=>[1]
Connected to: H-0002c90000007ffd, Ports:=[26]=>[1]
Connected to: H-0002c9000000801d, Ports:=[27]=>[1]
Connected to: H-0002c9000000803d, Ports:=[28]=>[1]
Connected to: H-0002c9000000805d, Ports:=[29]=>[1]
Connected to: H-0002c9000000809d, Ports:=[30]=>[1]
Connected to: H-0002c900000080bd, Ports:=[31]=>[1]
Connected to: H-0002c900000080dd, Ports:=[32]=>[1]
Connected to: S-0002c900000089b4, Ports:=[33]=>[17]
Connected to: S-0002c900000089b4, Ports:=[34]=>[18]
Connected to: S-0002c900000089b4, Ports:=[35]=>[19]
Connected to: S-0002c900000089b4, Ports:=[36]=>[20]
Connected to: S-0002c900000089b4, Ports:=[37]=>[21]
Connected to: S-0002c900000089b4, Ports:=[38]=>[22]
Connected to: S-0002c900000089b4, Ports:=[39]=>[23]
Connected to: S-0002c900000089b4, Ports:=[40]=>[24]
Connected to: S-0002c900000089b8, Ports:=[41]=>[17]
Connected to: S-0002c900000089b8, Ports:=[42]=>[18]
Connected to: S-0002c900000089b8, Ports:=[43]=>[19]
Connected to: S-0002c900000089b8, Ports:=[44]=>[20]
Connected to: S-0002c900000089b8, Ports:=[45]=>[21]
Connected to: S-0002c900000089b8, Ports:=[46]=>[22]
Connected to: S-0002c900000089b8, Ports:=[47]=>[23]
Connected to: S-0002c900000089b8, Ports:=[48]=>[24]
Connected to: S-0002c900000089bc, Ports:=[49]=>[17]
Connected to: S-0002c900000089bc, Ports:=[50]=>[18]
Connected to: S-0002c900000089bc, Ports:=[51]=>[19]
Connected to: S-0002c900000089bc, Ports:=[52]=>[20]
Connected to: S-0002c900000089bc, Ports:=[53]=>[21]
Connected to: S-0002c900000089bc, Ports:=[54]=>[22]
Connected to: S-0002c900000089bc, Ports:=[55]=>[23]
Connected to: S-0002c900000089bc, Ports:=[56]=>[24]
Connected to: S-0002c900000089c0, Ports:=[57]=>[17]
Connected to: S-0002c900000089c0, Ports:=[58]=>[18]
Connected to: S-0002c900000089c0, Ports:=[59]=>[19]
Connected to: S-0002c900000089c0, Ports:=[60]=>[20]
Connected to: S-0002c900000089c0, Ports:=[61]=>[21]
Connected to: S-0002c900000089c0, Ports:=[62]=>[22]
Connected to: S-0002c900000089c0, Ports:=[63]=>[23]
Connected to: S-0002c900000089c0, Ports:=[64]=>[24]


Switch:
sysimgguid=0x2c900000085b7
Connected to: H-0002c9000000781d, Ports:=[1]=>[1]
Connected to: H-0002c9000000785d, Ports:=[2]=>[1]
Connected to: H-0002c9000000787d, Ports:=[3]=>[1]
Connected to: H-0002c9000000789d, Ports:=[4]=>[1]
Connected to: H-0002c900000078bd, Ports:=[5]=>[1]
